gateway, tag, rssi, latitude, longitude, ts
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:49:05.605115408Z
ZH/a//4Ax58=,RAK4630-FDE9,-122,22.34953,114.17015,2022-12-14T10:49:13.143367683Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:49:13.143367683Z
y01BuvE4WuY=,RAK4630-FDE9,-100,22.3625704,114.119536,2022-12-14T10:49:13.143367683Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:49:20.981436177Z
y01BuvE4WuY=,RAK4630-FDE9,-95,22.3625704,114.119536,2022-12-14T10:49:28.109599404Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:49:35.605908984Z
ZH/a//4Ax50=,RAK4630-FDE9,-110,22.35701,114.21961,2022-12-14T10:49:35.605908984Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:49:35.605908984Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:49:35.605908984Z
y01BuvE4WuY=,RAK4630-FDE9,-97,22.3625704,114.119536,2022-12-14T10:49:35.605908984Z
y01BuvE4WuY=,RAK4630-FDE9,-92,22.3625704,114.119536,2022-12-14T10:49:43.152810512Z
cnb/AC4HAWY=,RAK4630-FDE9,-116,22.3707136,114.11456,2022-12-14T10:49:43.152810512Z
ZH/a//4Af7A=,RAK4630-FDE9,-107,22.33821,114.19698,2022-12-14T10:49:43.152810512Z
ZH/a//4Aapw=,RAK4630-FDE9,-109,22.34299,114.19675,2022-12-14T10:49:43.152810512Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:49:50.596145786Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:49:50.596145786Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:49:50.596145786Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:49:50.596145786Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:49:50.596145786Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:49:58.304943757Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:49:58.304943757Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:49:58.304943757Z
